"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectscipy:typeissue_reply:author_groupnonmember:year2014"	0.1584753801514	0.00877598560231117	300534.726187267	18.0578441365794	0.000000000000000000000000000000000000000000000000000000000000000000000000748094453290263
"projectsphinx-gallery:typeissue_reply:author_groupnonmember:year2014"	0.108590382948812	0.0587850745922549	489411.567823505	1.84724411259179	0.0647123718693399
"projectmatplotlib:typepr_reply:author_groupnonmember:year2014"	0.147133117054275	0.008606252024716	333739.682577169	17.0960734860806	0.0000000000000000000000000000000000000000000000000000000000000000169303766885313
"projectmayavi:typepr_reply:author_groupnonmember:year2014"	0.177854892272076	0.0317783407353288	352240.834257169	5.59673312566476	0.0000000218590289855837
"projectnumpy:typepr_reply:author_groupnonmember:year2014"	0.142660566639892	0.00822796007639224	418014.519775032	17.3385098269029	0.000000000000000000000000000000000000000000000000000000000000000000254365524586907
"projectpandas:typepr_reply:author_groupnonmember:year2014"	0.139963471649095	0.00681400307786537	318974.983172075	20.5405647825069	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010752139247849
"projectscikit-image:typepr_reply:author_groupnonmember:year2014"	0.153001981467588	0.0109911711584282	442048.376531514	13.9204438964872	0.0000000000000000000000000000000000000000000486257602599621
"projectscikit-learn:typepr_reply:author_groupnonmember:year2014"	0.153480909608361	0.00653911804921446	337852.624289368	23.4711941967156	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100610496723276
"projectscipy:typepr_reply:author_groupnonmember:year2014"	0.183085996233975	0.0081289020244081	443409.212639756	22.5228444978467	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028677639987096
"projectsphinx-gallery:typepr_reply:author_groupnonmember:year2014"	0.0617973924435136	0.12193498572253	488705.577634197	0.506806082580246	0.612291116715103
"projectmatplotlib:typeissue_post:author_groupmember:year2015"	0.0909734329954899	0.0139196360017665	501261.287448962	6.53561867450732	0.0000000000634074692856845
"projectmayavi:typeissue_post:author_groupmember:year2015"	0.10286242845549	0.0463773672947951	506529.895316192	2.21794453750794	0.0265590561369515
"projectnumpy:typeissue_post:author_groupmember:year2015"	0.0731313761528119	0.0160814127869532	497875.315175845	4.54757160466294	0.00000542812221901038
"projectpandas:typeissue_post:author_groupmember:year2015"	0.0633601480969749	0.00992919391377503	506933.37305757	6.38119757224942	0.000000000175859159354463
"projectscikit-image:typeissue_post:author_groupmember:year2015"	0.0255921452968579	0.023289181405764	495007.882291058	1.09888556626228	0.271818517625585
"projectscikit-learn:typeissue_post:author_groupmember:year2015"	0.0645590343104609	0.0119062095547399	503986.061471186	5.42229951636959	0.0000000588641151888135
"projectscipy:typeissue_post:author_groupmember:year2015"	0.0785149335902188	0.0169282265940898	496797.744817637	4.63810743280286	0.00000351703392116901
"projectsphinx-gallery:typeissue_post:author_groupmember:year2015"	0.0736787778972186	0.070809819189304	489203.350063085	1.04051639646536	0.298100564614351
"projectmatplotlib:typepr_post:author_groupmember:year2015"	0.0971626090262228	0.00878994043538841	507312.872953361	11.0538415749719	0.000000000000000000000000000211606747435548
"projectmayavi:typepr_post:author_groupmember:year2015"	0.0786184805822685	0.0431833622243144	504985.20247097	1.82057339986376	0.0686723209301225
"projectnumpy:typepr_post:author_groupmember:year2015"	0.0615669921535116	0.00959608509887532	506782.112999553	6.41584474492909	0.000000000140166847351838
"projectpandas:typepr_post:author_groupmember:year2015"	0.0687939123383341	0.00909163230848033	507693.6884304	7.56672839421429	0.0000000000000383380713857563
"projectscikit-image:typepr_post:author_groupmember:year2015"	0.0698008849888579	0.0166508471551227	499851.637484438	4.19203205329908	0.0000276514392719081
"projectscikit-learn:typepr_post:author_groupmember:year2015"	0.0698116789969689	0.0101953533728051	507001.800140514	6.84740159994681	0.00000000000752883944699665
"projectscipy:typepr_post:author_groupmember:year2015"	0.067242129497336	0.0106915553350215	505219.973325702	6.28927479588268	0.000000000319211825353949
"projectsphinx-gallery:typepr_post:author_groupmember:year2015"	0.0781670410320713	0.0459145747067637	490258.958550934	1.70244506306091	0.0886726025698365
"projectmatplotlib:typeissue_reply:author_groupmember:year2015"	0.119153697132126	0.00503516974765929	425280.061632173	23.6642860327633	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101213031967603
"projectmayavi:typeissue_reply:author_groupmember:year2015"	0.136533403647613	0.0336775207544509	477465.215474852	4.05414058365828	0.0000503269166011614
"projectnumpy:typeissue_reply:author_groupmember:year2015"	0.100551966832874	0.00490802371368671	439126.102949503	20.4872618183305	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309321812156835
"projectpandas:typeissue_reply:author_groupmember:year2015"	0.099937062107473	0.00401318681698327	325345.651497666	24.9021704358623	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947660537556932
"projectscikit-image:typeissue_reply:author_groupmember:year2015"	0.10490768553019	0.00796822824503365	500715.25501759	13.1657480564234	0.00000000000000000000000000000000000000140274361532557
"projectscikit-learn:typeissue_reply:author_groupmember:year2015"	0.0948639783614423	0.00438106491581798	362770.832759582	21.6531779793841	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000660438951816684
"projectscipy:typeissue_reply:author_groupmember:year2015"	0.0930433710750713	0.00535593928865572	463726.28659175	17.3719988335462	0.000000000000000000000000000000000000000000000000000000000000000000141268891056269
"projectsphinx-gallery:typeissue_reply:author_groupmember:year2015"	0.0796137756600735	0.0289565431547923	492202.889672569	2.74942265153972	0.00597025285618118
"projectmatplotlib:typepr_reply:author_groupmember:year2015"	0.147351238315813	0.00440283878372775	361210.078117279	33.4673254129589	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000343221613649941
"projectmayavi:typepr_reply:author_groupmember:year2015"	0.182800570149774	0.0314396691849241	481211.795906976	5.81432867739686	0.00000000609159663902023
"projectnumpy:typepr_reply:author_groupmember:year2015"	0.179623668620141	0.00456172685078614	409763.921633367	39.3762437988118	0
"projectpandas:typepr_reply:author_groupmember:year2015"	0.16776784436315	0.00387968562115578	304441.094336732	43.2426389005126	0
"projectscikit-image:typepr_reply:author_groupmember:year2015"	0.184781268592537	0.0068826570005609	482570.577848286	26.8473742883713	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000118527254238458
"projectscikit-learn:typepr_reply:author_groupmember:year2015"	0.149465433733096	0.00371440514118293	263807.092062223	40.2393998640373	0
"projectscipy:typepr_reply:author_groupmember:year2015"	0.170343216117064	0.00447733371024081	397178.310299814	38.0456823505125	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000378884764111616
"projectsphinx-gallery:typepr_reply:author_groupmember:year2015"	0.0876227715006654	0.0256371803171237	493233.948228081	3.41780064799639	0.000631344230795539
"projectmatplotlib:typeissue_post:author_groupnonmember:year2015"	0.0790446378275281	0.0101690280724052	372112.123608861	7.77307696121168	0.0000000000000076796445066881
"projectmayavi:typeissue_post:author_groupnonmember:year2015"	0.208660559182733	0.0346231629046191	359006.420264402	6.02661749180909	0.00000000167588854603602
"projectnumpy:typeissue_post:author_groupnonmember:year2015"	0.0676556523988992	0.0117760884767352	369481.018659235	5.74517188220516	0.00000000918994265049978
"projectpandas:typeissue_post:author_groupnonmember:year2015"	0.070161330990224	0.00724815159013114	290398.322701101	9.67989288272523	0.000000000000000000000369944378269579
