"t_stats" "p_value"
"pr_reply:nonmember:mayaviTRUE:year2012-pr_reply:nonmember:mayaviFALSE:year2012" -0.213869389319801 0.830648911709331
"issue_post:member:mayaviTRUE:year2013-issue_post:member:mayaviFALSE:year2013" -0.0173303851970978 0.986173045358381
"pr_post:member:mayaviTRUE:year2013-pr_post:member:mayaviFALSE:year2013" -0.679902490738198 0.496566204435458
"issue_reply:member:mayaviTRUE:year2013-issue_reply:member:mayaviFALSE:year2013" -1.10974317969286 0.267109710322443
"pr_reply:member:mayaviTRUE:year2013-pr_reply:member:mayaviFALSE:year2013" -1.02145441503877 0.307039195823998
"issue_post:nonmember:mayaviTRUE:year2013-issue_post:nonmember:mayaviFALSE:year2013" 2.32702350104609 0.0199640144761117
"pr_post:nonmember:mayaviTRUE:year2013-pr_post:nonmember:mayaviFALSE:year2013" -1.1721626899094 0.241131744706249
"issue_reply:nonmember:mayaviTRUE:year2013-issue_reply:nonmember:mayaviFALSE:year2013" -1.00409824813601 0.315331259762732
"pr_reply:nonmember:mayaviTRUE:year2013-pr_reply:nonmember:mayaviFALSE:year2013" 1.11210060751639 0.266094895561702
"pr_post:member:mayaviTRUE:year2014-pr_post:member:mayaviFALSE:year2014" -2.14564476439033 0.0319013311352243
"issue_reply:member:mayaviTRUE:year2014-issue_reply:member:mayaviFALSE:year2014" -1.93658666579497 0.0527958892211891
"pr_reply:member:mayaviTRUE:year2014-pr_reply:member:mayaviFALSE:year2014" -2.46564477286088 0.0136766893806446
"issue_post:nonmember:mayaviTRUE:year2014-issue_post:nonmember:mayaviFALSE:year2014" 0.53950484136434 0.58953855729712
"pr_post:nonmember:mayaviTRUE:year2014-pr_post:nonmember:mayaviFALSE:year2014" -0.746395400675342 0.455428596798112
"issue_reply:nonmember:mayaviTRUE:year2014-issue_reply:nonmember:mayaviFALSE:year2014" 0.275278750448225 0.78310208872841
"pr_reply:nonmember:mayaviTRUE:year2014-pr_reply:nonmember:mayaviFALSE:year2014" -2.74507329931538 0.00604973836228528
"issue_post:member:mayaviTRUE:year2015-issue_post:member:mayaviFALSE:year2015" -0.755697927929218 0.449830326691347
"pr_post:member:mayaviTRUE:year2015-pr_post:member:mayaviFALSE:year2015" -0.231625350450079 0.81682901609268
"issue_reply:member:mayaviTRUE:year2015-issue_reply:member:mayaviFALSE:year2015" -0.42873569078264 0.66811558390286
"pr_reply:member:mayaviTRUE:year2015-pr_reply:member:mayaviFALSE:year2015" -2.35703405690865 0.0184215572843121
"issue_post:nonmember:mayaviTRUE:year2015-issue_post:nonmember:mayaviFALSE:year2015" 0.516742756020333 0.605335745076013
